algo,time,roughMemoryEstimate,answerDepth,answerCost,startState,processedNodes,nodeInstancesCreated
BFS,0.003,155,4,7,BC#A#D#,193,816
DFS,0.013,74,7,13,BC#A#D#,52,163
Uniform,0.016,87,4,7,BC#A#D#,60,226
IterativeDeepening,0.02,47,4,7,BC#A#D#,466,818
BFS,0.004,164,5,9,BCA#D##,258,1058
DFS,0.015,74,8,15,BCA#D##,54,167
Uniform,0.017,91,5,9,BCA#D##,56,222
IterativeDeepening,0.03,51,5,9,BCA#D##,1231,1760
BFS,0.001,64,3,6,DCB#A##,19,105
DFS,0.005,43,9,16,DCB#A##,11,47
Uniform,0.007,78,3,6,DCB#A##,25,126
IterativeDeepening,0.008,13,3,6,DCB#A##,13,35
BFS,0.009,166,5,10,DAC#B##,279,1134
DFS,0.011,51,11,18,DAC#B##,15,62
Uniform,0.022,85,5,10,DAC#B##,62,228
IterativeDeepening,0.031,58,5,10,DAC#B##,1330,1851
BFS,0.006,185,3,5,DC#A#B#,119,578
DFS,0.008,77,3,5,DC#A#B#,65,201
Uniform,0.01,88,3,5,DC#A#B#,45,197
IterativeDeepening,0.013,27,3,5,DC#A#B#,258,322
BFS,0.003,145,4,8,BD#A#C#,225,910
DFS,0.005,74,7,13,BD#A#C#,52,163
Uniform,0.008,80,4,8,BD#A#C#,67,233
IterativeDeepening,0.013,58,4,8,BD#A#C#,648,1014
BFS,0.002,146,4,8,DA#B#C#,201,842
DFS,0.004,61,9,16,DA#B#C#,31,105
Uniform,0.021,77,4,8,DA#B#C#,70,236
IterativeDeepening,0.057,70,4,8,DA#B#C#,690,1075
BFS,0.002,181,4,9,CA#DB##,99,523
DFS,0.003,64,9,15,CA#DB##,32,109
Uniform,0.004,91,4,9,CA#DB##,56,222
IterativeDeepening,0.006,29,4,9,CA#DB##,87,249
BFS,0.023,181,4,9,CA#DB##,99,523
DFS,0.029,64,9,15,CA#DB##,32,109
Uniform,0.031,91,4,9,CA#DB##,56,222
IterativeDeepening,0.033,29,4,9,CA#DB##,87,249
BFS,0.001,185,5,11,CDBA###,87,466
DFS,0.004,61,9,15,CDBA###,35,113
Uniform,0.006,92,5,11,CDBA###,55,221
IterativeDeepening,0.009,21,5,11,CDBA###,116,221
BFS,0.007,146,4,8,BA#C#D#,201,842
DFS,0.008,61,6,11,BA#C#D#,35,113
Uniform,0.01,77,4,8,BA#C#D#,70,236
IterativeDeepening,0.018,58,4,8,BA#C#D#,519,871
BFS,0.004,164,5,10,CDA#B##,287,1152
DFS,0.007,74,5,10,CDA#B##,58,175
Uniform,0.008,86,5,10,CDA#B##,61,227
IterativeDeepening,0.02,57,5,10,CDA#B##,1332,1851
