algo,time,roughMemoryEstimate,answerDepth,answerCost,startState,processedNodes,nodeInstancesCreated
BFS,0.014,160,5,10,BC#DA##,265,1078
DFS,0.017,74,8,15,BC#DA##,50,156
Uniform,0.023,85,5,9,BC#DA##,62,228
IterativeDeepening,0.056,58,5,10,BC#DA##,994,1838
BFS,0.018,156,6,12,ADCB###,282,1122
DFS,0.02,51,12,20,ADCB###,15,62
Uniform,0.025,83,6,12,ADCB###,64,230
IterativeDeepening,0.048,41,6,12,ADCB###,1437,1983
BFS,0.012,192,5,11,ADB#C##,169,801
DFS,0.016,61,10,18,ADB#C##,33,109
Uniform,0.023,74,5,11,ADB#C##,73,239
IterativeDeepening,0.034,29,5,11,ADB#C##,114,628
BFS,0.038,117,3,6,A#B#C#D,111,462
DFS,0.069,60,4,6,A#B#C#D,38,119
Uniform,0.083,84,3,6,A#B#C#D,63,229
IterativeDeepening,0.087,33,3,6,A#B#C#D,171,297
BFS,0.015,146,4,8,DA#B#C#,201,842
DFS,0.018,61,9,16,DA#B#C#,31,105
Uniform,0.022,77,4,8,DA#B#C#,70,236
IterativeDeepening,0.071,70,4,8,DA#B#C#,690,1075
BFS,0.02,146,4,8,BA#C#D#,201,842
DFS,0.06,61,6,11,BA#C#D#,35,113
Uniform,0.065,77,4,8,BA#C#D#,70,236
IterativeDeepening,0.101,58,4,8,BA#C#D#,519,871
BFS,0.031,156,5,10,ADC#B##,282,1122
DFS,0.045,51,11,18,ADC#B##,15,62
Uniform,0.059,82,5,10,ADC#B##,65,231
IterativeDeepening,0.072,56,5,10,ADC#B##,1418,1956
BFS,0.0,13,1,3,ABC#D##,4,14
DFS,0.001,6,1,3,ABC#D##,2,3
Uniform,0.002,22,1,3,ABC#D##,5,18
IterativeDeepening,0.016,4,1,3,ABC#D##,4,3
BFS,0.026,146,4,8,CA#B#D#,201,842
DFS,0.045,61,9,16,CA#B#D#,31,105
Uniform,0.068,77,4,8,CA#B#D#,70,236
IterativeDeepening,0.078,66,4,8,CA#B#D#,633,1007
BFS,0.016,155,4,7,BC#A#D#,193,816
DFS,0.02,74,7,13,BC#A#D#,52,163
Uniform,0.026,87,4,7,BC#A#D#,60,226
IterativeDeepening,0.064,47,4,7,BC#A#D#,466,818
BFS,0.002,64,3,6,DCB#A##,19,105
DFS,0.004,43,9,16,DCB#A##,11,47
Uniform,0.01,78,3,6,DCB#A##,25,126
IterativeDeepening,0.015,13,3,6,DCB#A##,13,35
BFS,0.007,185,3,5,DC#A#B#,119,578
DFS,0.022,77,3,5,DC#A#B#,65,201
Uniform,0.033,88,3,5,DC#A#B#,45,197
IterativeDeepening,0.041,27,3,5,DC#A#B#,258,322
BFS,0.012,182,4,9,AD#CB##,99,523
DFS,0.016,65,11,20,AD#CB##,35,117
Uniform,0.021,91,4,9,AD#CB##,56,222
IterativeDeepening,0.035,29,4,9,AD#CB##,87,249
BFS,0.012,146,4,8,CA#B#D#,201,842
DFS,0.019,61,9,16,CA#B#D#,31,105
Uniform,0.027,77,4,8,CA#B#D#,70,236
IterativeDeepening,0.073,66,4,8,CA#B#D#,633,1007
BFS,0.019,145,4,8,AD#B#C#,225,910
DFS,0.023,61,9,16,AD#B#C#,31,105
Uniform,0.035,79,4,8,AD#B#C#,68,234
IterativeDeepening,0.051,52,4,8,AD#B#C#,600,953
BFS,0.009,134,3,7,CB#A#D#,51,280
DFS,0.019,65,8,13,CB#A#D#,39,128
Uniform,0.024,89,3,7,CB#A#D#,58,224
IterativeDeepening,0.031,25,3,7,CB#A#D#,25,90
BFS,0.02,166,5,10,DAC#B##,279,1134
DFS,0.024,51,11,18,DAC#B##,15,62
Uniform,0.037,85,5,10,DAC#B##,62,228
IterativeDeepening,0.068,58,5,10,DAC#B##,1330,1851
BFS,0.01,159,5,10,BD#CA##,266,1082
DFS,0.014,74,8,15,BD#CA##,50,156
Uniform,0.044,75,5,10,BD#CA##,72,238
IterativeDeepening,0.064,58,5,10,BD#CA##,994,1838
BFS,0.02,146,4,8,BA#C#D#,201,842
DFS,0.023,61,6,11,BA#C#D#,35,113
Uniform,0.036,77,4,8,BA#C#D#,70,236
IterativeDeepening,0.05,58,4,8,BA#C#D#,519,871
BFS,0.001,138,4,9,ABDC###,45,258
DFS,0.041,77,4,9,ABDC###,69,209
Uniform,0.075,86,4,9,ABDC###,45,195
IterativeDeepening,0.077,19,4,9,ABDC###,60,85
BFS,0.022,163,5,10,BDC#A##,297,1181
DFS,0.062,51,11,18,BDC#A##,15,62
Uniform,0.066,80,5,10,BDC#A##,67,233
IterativeDeepening,0.087,57,5,10,BDC#A##,1333,1851
BFS,0.03,146,4,8,DA#B#C#,201,842
DFS,0.079,61,9,16,DA#B#C#,31,105
Uniform,0.158,77,4,8,DA#B#C#,70,236
IterativeDeepening,0.19,70,4,8,DA#B#C#,690,1075
BFS,0.005,163,6,11,ACDB###,261,1068
DFS,0.049,77,7,14,ACDB###,65,201
Uniform,0.088,82,6,12,ACDB###,65,231
IterativeDeepening,0.441,37,6,11,ACDB###,1250,1787
BFS,0.002,185,4,9,CDB#A##,87,466
DFS,0.007,61,8,13,CDB#A##,35,113
Uniform,0.012,88,4,9,CDB#A##,59,225
IterativeDeepening,0.014,22,4,9,CDB#A##,98,195
BFS,0.016,163,5,9,ACD#B##,261,1068
DFS,0.025,77,6,12,ACD#B##,65,201
Uniform,0.034,91,5,9,ACD#B##,56,222
IterativeDeepening,0.075,51,5,9,ACD#B##,1231,1760
BFS,0.032,166,3,7,AB#CD##,68,371
DFS,0.04,77,3,7,AB#CD##,65,198
Uniform,0.044,89,3,7,AB#CD##,50,208
IterativeDeepening,0.05,22,3,7,AB#CD##,102,137
BFS,0.003,134,3,7,DB#A#C#,51,280
DFS,0.005,78,6,10,DB#A#C#,60,186
Uniform,0.008,89,3,7,DB#A#C#,58,224
IterativeDeepening,0.01,24,3,7,DB#A#C#,33,97
BFS,0.039,181,4,9,CBA#D##,99,523
DFS,0.045,65,9,15,CBA#D##,41,132
Uniform,0.055,86,4,9,CBA#D##,61,227
IterativeDeepening,0.064,31,4,9,CBA#D##,158,267
BFS,0.017,166,5,10,DAC#B##,279,1134
DFS,0.019,51,11,18,DAC#B##,15,62
Uniform,0.022,85,5,10,DAC#B##,62,228
IterativeDeepening,0.034,58,5,10,DAC#B##,1330,1851
BFS,0.003,183,5,9,BAC#D##,193,870
DFS,0.005,61,7,13,BAC#D##,37,117
Uniform,0.007,85,5,10,BAC#D##,62,228
IterativeDeepening,0.013,29,5,9,BAC#D##,344,853
BFS,0.005,194,4,9,CBD#A##,101,537
DFS,0.014,69,9,15,CBD#A##,41,132
Uniform,0.018,86,4,9,CBD#A##,61,227
IterativeDeepening,0.023,29,4,9,CBD#A##,145,249
BFS,0.007,185,5,11,CDBA###,87,466
DFS,0.008,61,9,15,CDBA###,35,113
Uniform,0.01,92,5,11,CDBA###,55,221
IterativeDeepening,0.013,21,5,11,CDBA###,116,221
BFS,0.016,156,5,10,ADC#B##,282,1122
DFS,0.017,51,11,18,ADC#B##,15,62
Uniform,0.03,82,5,10,ADC#B##,65,231
IterativeDeepening,0.067,56,5,10,ADC#B##,1418,1956
BFS,0.009,190,4,9,CB#DA##,168,797
DFS,0.013,47,9,15,CB#DA##,15,59
Uniform,0.018,81,4,9,CB#DA##,66,232
IterativeDeepening,0.035,42,4,9,CB#DA##,399,574
BFS,0.002,166,3,7,AB#CD##,68,371
DFS,0.009,77,3,7,AB#CD##,65,198
Uniform,0.024,89,3,7,AB#CD##,50,208
IterativeDeepening,0.026,22,3,7,AB#CD##,102,137
BFS,0.003,134,3,7,CB#A#D#,51,280
DFS,0.01,65,8,13,CB#A#D#,39,128
Uniform,0.014,89,3,7,CB#A#D#,58,224
IterativeDeepening,0.03,25,3,7,CB#A#D#,25,90
BFS,0.019,185,3,5,DC#A#B#,119,578
DFS,0.026,77,3,5,DC#A#B#,65,201
Uniform,0.028,88,3,5,DC#A#B#,45,197
IterativeDeepening,0.031,27,3,5,DC#A#B#,258,322
BFS,0.009,163,5,9,ACD#B##,261,1068
DFS,0.01,77,6,12,ACD#B##,65,201
Uniform,0.017,91,5,9,ACD#B##,56,222
IterativeDeepening,0.025,51,5,9,ACD#B##,1231,1760
BFS,0.005,145,4,8,AD#B#C#,225,910
DFS,0.008,61,9,16,AD#B#C#,31,105
Uniform,0.014,79,4,8,AD#B#C#,68,234
IterativeDeepening,0.03,52,4,8,AD#B#C#,600,953
BFS,0.007,192,6,13,ACBD###,168,797
DFS,0.009,61,11,20,ACBD###,33,109
Uniform,0.016,77,6,12,ACBD###,70,236
IterativeDeepening,0.026,28,6,13,ACBD###,116,652
BFS,0.015,155,4,7,AC#B#D#,193,816
DFS,0.017,61,9,16,AC#B#D#,31,105
Uniform,0.026,87,4,7,AC#B#D#,60,226
IterativeDeepening,0.042,42,4,7,AC#B#D#,417,757
BFS,0.003,134,3,7,DB#A#C#,51,280
DFS,0.007,78,6,10,DB#A#C#,60,186
Uniform,0.016,89,3,7,DB#A#C#,58,224
IterativeDeepening,0.018,24,3,7,DB#A#C#,33,97
BFS,0.012,163,5,9,AD#BC##,261,1068
DFS,0.024,65,11,18,AD#BC##,33,113
Uniform,0.039,89,5,9,AD#BC##,58,224
IterativeDeepening,0.058,51,5,9,AD#BC##,810,1642
BFS,0.012,210,4,7,DCA#B##,154,761
DFS,0.016,77,4,7,DCA#B##,67,205
Uniform,0.025,87,4,7,DCA#B##,46,198
IterativeDeepening,0.029,30,4,7,DCA#B##,366,471
BFS,0.001,111,2,5,AB#C#D#,30,173
DFS,0.016,76,2,5,AB#C#D#,70,213
Uniform,0.022,87,2,5,AB#C#D#,46,198
IterativeDeepening,0.023,19,2,5,AB#C#D#,30,43
BFS,0.001,117,3,6,A#B#C#D,111,462
DFS,0.003,60,4,6,A#B#C#D,38,119
Uniform,0.007,84,3,6,A#B#C#D,63,229
IterativeDeepening,0.011,33,3,6,A#B#C#D,171,297
BFS,0.003,111,2,5,AB#C#D#,30,173
DFS,0.007,76,2,5,AB#C#D#,70,213
Uniform,0.009,87,2,5,AB#C#D#,46,198
IterativeDeepening,0.011,19,2,5,AB#C#D#,30,43
BFS,0.001,134,3,7,DB#A#C#,51,280
DFS,0.003,78,6,10,DB#A#C#,60,186
Uniform,0.021,89,3,7,DB#A#C#,58,224
IterativeDeepening,0.024,24,3,7,DB#A#C#,33,97
BFS,0.004,146,4,8,CA#B#D#,201,842
DFS,0.007,61,9,16,CA#B#D#,31,105
Uniform,0.012,77,4,8,CA#B#D#,70,236
IterativeDeepening,0.053,66,4,8,CA#B#D#,633,1007
BFS,0.002,166,3,7,AB#CD##,68,371
DFS,0.008,77,3,7,AB#CD##,65,198
Uniform,0.01,89,3,7,AB#CD##,50,208
IterativeDeepening,0.014,22,3,7,AB#CD##,102,137
BFS,0.002,134,3,7,DB#A#C#,51,280
DFS,0.006,78,6,10,DB#A#C#,60,186
Uniform,0.012,89,3,7,DB#A#C#,58,224
IterativeDeepening,0.017,24,3,7,DB#A#C#,33,97
BFS,0.001,134,3,7,DB#A#C#,51,280
DFS,0.005,78,6,10,DB#A#C#,60,186
Uniform,0.008,89,3,7,DB#A#C#,58,224
IterativeDeepening,0.009,24,3,7,DB#A#C#,33,97
