algo,time,roughMemoryEstimate,answerDepth,answerCost,startState,processedNodes,nodeInstancesCreated
BFS,0.032,1373,5,12,ECDB#A###,401,3245
DFS,0.053,532,14,26,ECDB#A###,446,1756
Uniform,0.069,600,5,12,ECDB#A###,385,2005
IterativeDeepening,0.078,41,5,12,ECDB#A###,471,1127
BFS,0.171,1743,7,15,CAE#BD###,5440,27054
DFS,0.174,321,55,100,CAE#BD###,83,422
Uniform,0.183,516,7,15,CAE#BD###,487,2125
IterativeDeepening,1.383,639,7,15,CAE#BD###,110187,197631
BFS,0.236,1640,7,16,EADC#B###,5674,27467
DFS,0.242,407,68,122,EADC#B###,145,650
Uniform,0.257,510,7,16,EADC#B###,493,2131
IterativeDeepening,1.927,615,7,16,EADC#B###,200622,240274
BFS,0.395,2879,6,14,CBDA#E###,2574,16399
DFS,0.407,548,39,69,CBDA#E###,378,1455
Uniform,0.458,546,6,15,CBDA#E###,457,2095
IterativeDeepening,0.584,139,6,14,CBDA#E###,15293,20230
BFS,0.056,883,3,8,AB#EC#D##,206,1729
DFS,0.063,525,44,81,AB#EC#D##,331,1256
Uniform,0.074,542,3,8,AB#EC#D##,307,1788
IterativeDeepening,0.077,40,3,8,AB#EC#D##,287,382
BFS,0.228,2175,7,15,BAEC#D###,3977,21900
DFS,0.245,525,12,25,BAEC#D###,471,1914
Uniform,0.265,509,7,16,BAEC#D###,494,2132
IterativeDeepening,0.83,121,7,15,BAEC#D###,26358,65506
BFS,0.136,1298,5,12,BE#A#C#D#,3474,17450
DFS,0.15,546,29,52,BE#A#C#D#,400,1535
Uniform,0.164,506,5,12,BE#A#C#D#,497,2135
IterativeDeepening,0.488,697,5,12,BE#A#C#D#,37653,50965
BFS,0.029,1604,3,9,AB#C#D#E#,482,3968
DFS,0.036,96,13,24,AB#C#D#E#,14,87
Uniform,0.054,616,3,9,AB#C#D#E#,387,2025
IterativeDeepening,0.062,54,3,9,AB#C#D#E#,689,870
BFS,0.08,1475,5,11,AD#B#C#E#,3129,16234
DFS,0.085,402,66,114,AD#B#C#E#,134,616
Uniform,0.1,521,5,12,AD#B#C#E#,482,2120
IterativeDeepening,0.328,518,5,11,AD#B#C#E#,26204,38949
BFS,0.247,2680,5,11,ECA#B#D##,2844,17591
DFS,0.305,541,32,57,ECA#B#D##,381,1467
Uniform,0.354,609,5,11,ECA#B#D##,394,2032
IterativeDeepening,0.521,238,5,11,ECA#B#D##,17401,20878
BFS,0.182,1300,5,12,CE#A#B#D#,3479,17471
DFS,0.225,396,63,108,CE#A#B#D#,150,644
Uniform,0.327,524,5,12,CE#A#B#D#,479,2117
IterativeDeepening,0.72,733,5,12,CE#A#B#D#,39431,52972
BFS,0.197,2980,6,15,EBC#DA###,3045,18981
DFS,0.214,403,70,121,EBC#DA###,127,604
Uniform,0.228,563,6,14,EBC#DA###,440,2078
IterativeDeepening,0.401,181,6,15,EBC#DA###,16763,27446
BFS,0.25,1638,7,15,BAE#CD###,5752,27898
DFS,0.259,454,80,143,BAE#CD###,170,753
Uniform,0.276,507,7,16,BAE#CD###,496,2134
IterativeDeepening,1.426,754,7,15,BAE#CD###,165843,253401
BFS,0.028,1107,4,10,DCE#AB###,293,2432
DFS,0.049,533,14,26,DCE#AB###,445,1756
Uniform,0.061,557,4,10,DCE#AB###,302,1763
IterativeDeepening,0.066,43,4,10,DCE#AB###,438,644
BFS,0.097,2681,5,12,CBD#A#E##,1683,11329
DFS,0.11,548,38,67,CBD#A#E##,376,1451
Uniform,0.128,595,5,12,CBD#A#E##,408,2046
IterativeDeepening,0.184,122,5,12,CBD#A#E##,5287,8714
BFS,0.207,1590,6,13,BCE#A#D##,4806,24088
DFS,0.227,550,32,57,BCE#A#D##,388,1474
Uniform,0.238,546,6,13,BCE#A#D##,457,2095
IterativeDeepening,1.021,910,6,13,BCE#A#D##,97241,125530
BFS,0.325,3035,6,14,ADB#EC###,2319,15428
DFS,0.334,540,54,98,ADB#EC###,322,1231
Uniform,0.401,575,6,14,ADB#EC###,428,2066
IterativeDeepening,0.657,89,6,14,ADB#EC###,5618,16213
BFS,0.135,2184,4,9,EC#A#B#D#,1950,12148
DFS,0.24,517,49,91,EC#A#B#D#,299,1133
Uniform,0.25,614,4,9,EC#A#B#D#,389,2027
IterativeDeepening,0.462,285,4,9,EC#A#B#D#,8710,10429
BFS,0.096,2176,4,9,DC#A#B#E#,1949,12137
