algo,time,roughMemoryEstimate,answerDepth,answerCost,startState,processedNodes,nodeInstancesCreated
DFS,0.101,486,50,94,DC#A#B#E#,258,993
Uniform,0.113,603,4,9,DC#A#B#E#,400,2038
IterativeDeepening,0.224,285,4,9,DC#A#B#E#,8710,10429
BFS,0.157,2551,5,11,BA#ED#C##,2813,17278
DFS,0.206,519,8,18,BA#ED#C##,479,1962
Uniform,0.218,595,5,11,BA#ED#C##,408,2046
IterativeDeepening,0.405,273,5,11,BA#ED#C##,16012,21681
BFS,0.13,1569,7,15,ADEC#B###,5390,26152
DFS,0.134,306,49,91,ADEC#B###,94,429
Uniform,0.145,565,7,15,ADEC#B###,438,2076
IterativeDeepening,1.274,608,7,15,ADEC#B###,192517,232142
BFS,0.105,1508,6,14,DAE#B#C##,4987,24651
DFS,0.111,543,37,66,DAE#B#C##,373,1449
Uniform,0.121,529,6,14,DAE#B#C##,474,2112
IterativeDeepening,0.599,911,6,14,DAE#B#C##,113078,140736
BFS,0.094,1874,8,19,AEBDC####,4656,24094
DFS,0.1,542,36,66,AEBDC####,370,1405
Uniform,0.11,505,8,18,AEBDC####,498,2136
IterativeDeepening,0.545,138,8,19,AEBDC####,87943,127828
BFS,0.101,1755,8,16,BCDAE####,5075,25515
DFS,0.106,549,34,61,BCDAE####,391,1491
Uniform,0.116,592,8,16,BCDAE####,411,2049
IterativeDeepening,0.94,155,8,16,BCDAE####,123047,162934
BFS,0.099,1314,5,12,BA#C#D#E#,3192,16380
DFS,0.108,531,10,19,BA#C#D#E#,459,1816
Uniform,0.12,523,5,12,BA#C#D#E#,480,2118
IterativeDeepening,0.377,622,5,12,BA#C#D#E#,31825,44484
BFS,0.111,1537,6,13,ACE#B#D##,4550,22878
DFS,0.118,517,77,136,ACE#B#D##,243,980
Uniform,0.131,563,6,13,ACE#B#D##,440,2078
IterativeDeepening,0.697,1036,6,13,ACE#B#D##,101134,130198
BFS,0.078,2185,5,11,DC#EA#B##,3390,19182
DFS,0.084,464,58,107,DC#EA#B##,222,881
Uniform,0.093,593,5,11,DC#EA#B##,410,2048
IterativeDeepening,0.237,559,5,11,DC#EA#B##,35508,41564
BFS,0.025,2328,4,10,DC#EB#A##,1025,7720
DFS,0.03,454,65,117,DC#EB#A##,196,813
Uniform,0.037,604,4,10,DC#EB#A##,385,2009
IterativeDeepening,0.051,123,4,10,DC#EB#A##,2853,3616
BFS,0.053,1314,5,12,CA#B#D#E#,3192,16380
DFS,0.06,486,55,99,CA#B#D#E#,252,1001
Uniform,0.069,505,5,12,CA#B#D#E#,498,2136
IterativeDeepening,0.247,777,5,12,CA#B#D#E#,37393,50785
BFS,0.082,1576,6,13,CDE#A#B##,5039,24995
DFS,0.084,115,16,29,CDE#A#B##,17,106
Uniform,0.094,571,6,13,CDE#A#B##,432,2070
IterativeDeepening,0.531,851,6,13,CDE#A#B##,105026,132618
BFS,0.081,2840,5,13,DBE#A#C##,2163,14093
DFS,0.085,404,71,130,DBE#A#C##,142,637
Uniform,0.093,577,5,13,DBE#A#C##,426,2064
IterativeDeepening,0.148,190,5,13,DBE#A#C##,9372,12797
BFS,0.098,3044,6,15,CDA#EB###,3078,19193
DFS,0.109,536,18,34,CDA#EB###,442,1754
Uniform,0.123,578,6,14,CDA#EB###,425,2063
IterativeDeepening,0.267,174,6,15,CDA#EB###,16770,27446
BFS,0.118,1806,6,13,BC#DA#E##,3943,20829
DFS,0.122,435,68,121,BC#DA#E##,165,724
Uniform,0.13,569,6,13,BC#DA#E##,434,2072
IterativeDeepening,0.422,489,6,13,BC#DA#E##,35621,80606
BFS,0.094,2713,5,11,EDA#B#C##,2880,17788
DFS,0.111,535,14,26,EDA#B#C##,447,1766
Uniform,0.149,601,5,11,EDA#B#C##,402,2040
IterativeDeepening,0.324,238,5,11,EDA#B#C##,17649,21121
BFS,0.04,2627,6,14,CBAD#E###,1427,10356
DFS,0.046,541,32,60,CBAD#E###,401,1556
Uniform,0.056,559,6,15,CBAD#E###,444,2082
IterativeDeepening,0.08,58,6,14,CBAD#E###,2132,6988
BFS,0.087,1537,6,13,ACE#B#D##,4550,22878
DFS,0.093,517,77,136,ACE#B#D##,243,980
Uniform,0.1,563,6,13,ACE#B#D##,440,2078
IterativeDeepening,0.567,1036,6,13,ACE#B#D##,101134,130198
BFS,0.074,2317,7,17,DAEB#C###,4195,23021
DFS,0.079,543,38,68,DAEB#C###,375,1453
Uniform,0.087,503,7,16,DAEB#C###,500,2138
IterativeDeepening,0.363,163,7,17,DAEB#C###,37317,76517
BFS,0.023,2181,4,11,ABE#C#D##,865,6800
DFS,0.025,105,16,31,ABE#C#D##,17,100
Uniform,0.031,606,4,11,ABE#C#D##,393,2027
IterativeDeepening,0.041,81,4,11,ABE#C#D##,1883,2365
BFS,0.004,880,3,8,AB#DC#E##,206,1729
DFS,0.014,529,54,99,AB#DC#E##,307,1172
Uniform,0.02,541,3,8,AB#DC#E##,306,1785
IterativeDeepening,0.023,40,3,8,AB#DC#E##,278,374
BFS,0.059,2980,6,15,DAC#EB###,3045,18981
DFS,0.065,542,33,59,DAC#EB###,384,1484
Uniform,0.072,546,6,15,DAC#EB###,457,2095
IterativeDeepening,0.167,174,6,15,DAC#EB###,16770,27446
BFS,0.169,1538,6,13,BE#CD#A##,4818,23913
DFS,0.181,541,28,51,BE#CD#A##,409,1598
Uniform,0.192,573,6,13,BE#CD#A##,430,2068
IterativeDeepening,0.802,1285,6,13,BE#CD#A##,96292,143943
BFS,0.06,1640,5,11,BC#A#D#E#,2810,15098
DFS,0.064,548,34,61,BC#A#D#E#,394,1529
Uniform,0.073,568,5,11,BC#A#D#E#,435,2073
IterativeDeepening,0.185,404,5,11,BC#A#D#E#,18365,31385
BFS,0.034,2345,4,9,EDC#A#B##,968,7398
DFS,0.055,514,6,14,EDC#A#B##,484,2005
Uniform,0.064,553,4,9,EDC#A#B##,316,1817
IterativeDeepening,0.08,91,4,9,EDC#A#B##,2625,3122
BFS,0.082,1582,7,15,ACED#B###,5299,25842
DFS,0.085,355,61,111,ACED#B###,111,518
Uniform,0.094,570,7,15,ACED#B###,433,2071
IterativeDeepening,0.839,601,7,15,ACED#B###,180891,220514
BFS,0.063,2889,6,14,DBCA#E###,2545,16285
DFS,0.074,542,48,86,DBCA#E###,340,1295
Uniform,0.085,591,6,14,DBCA#E###,412,2050
IterativeDeepening,0.172,139,6,14,DBCA#E###,15045,19987
BFS,0.109,2173,6,15,EAB#C#D##,3627,20207
DFS,0.114,455,64,116,EAB#C#D##,203,834
Uniform,0.125,510,7,14,EAB#C#D##,493,2131
IterativeDeepening,0.439,284,6,15,EAB#C#D##,23858,50889
BFS,0.09,1952,6,12,AD#BC#E##,3788,20404
DFS,0.102,543,31,57,AD#BC#E##,383,1456
Uniform,0.13,577,6,13,AD#BC#E##,426,2064
IterativeDeepening,0.54,351,6,12,AD#BC#E##,21810,66651
BFS,0.083,1503,6,14,DEA#B#C##,5017,24790
DFS,0.084,120,15,29,DEA#B#C##,26,134
Uniform,0.092,534,6,14,DEA#B#C##,469,2107
IterativeDeepening,0.573,889,6,14,DEA#B#C##,113100,140736
BFS,0.09,1621,7,16,BEC#AD###,5951,28619
DFS,0.095,500,61,110,BEC#AD###,254,995
Uniform,0.104,513,7,16,BEC#AD###,490,2128
IterativeDeepening,0.982,835,7,16,BEC#AD###,173885,261533
BFS,0.055,2330,6,14,ADB#C#E##,3019,17838
DFS,0.059,539,53,96,ADB#C#E##,321,1227
Uniform,0.067,536,7,14,ADB#C#E##,467,2105
IterativeDeepening,0.181,88,6,14,ADB#C#E##,3873,31991
BFS,0.008,883,3,8,AB#EC#D##,206,1729
DFS,0.015,525,44,81,AB#EC#D##,331,1256
Uniform,0.026,542,3,8,AB#EC#D##,307,1788
IterativeDeepening,0.029,40,3,8,AB#EC#D##,287,382
BFS,0.093,1806,6,13,BD#CA#E##,3961,20899
DFS,0.096,328,56,102,BD#CA#E##,84,430
Uniform,0.112,508,6,14,BD#CA#E##,495,2133
IterativeDeepening,0.458,489,6,13,BD#CA#E##,35869,80849
BFS,0.015,1604,3,9,AB#C#D#E#,482,3968
DFS,0.018,96,13,24,AB#C#D#E#,14,87
Uniform,0.026,616,3,9,AB#C#D#E#,387,2025
IterativeDeepening,0.032,54,3,9,AB#C#D#E#,689,870
BFS,0.081,2473,5,11,BA#DC#E##,2752,16930
DFS,0.086,364,61,114,BA#DC#E##,118,539
Uniform,0.093,595,5,11,BA#DC#E##,408,2046
IterativeDeepening,0.187,275,5,11,BA#DC#E##,15746,21326
BFS,0.072,3035,6,14,ADB#EC###,2319,15428
DFS,0.083,540,54,98,ADB#EC###,322,1231
Uniform,0.094,575,6,14,ADB#EC###,428,2066
IterativeDeepening,0.208,89,6,14,ADB#EC###,5618,16213
BFS,0.093,2518,5,11,BA#EC#D##,2777,17081
DFS,0.1,477,56,102,BA#EC#D##,237,927
Uniform,0.111,595,5,11,BA#EC#D##,408,2046
IterativeDeepening,0.2,273,5,11,BA#EC#D##,15764,21438
BFS,0.043,2637,5,13,AE#CB#D##,2074,13450
DFS,0.046,353,63,115,AE#CB#D##,99,487
Uniform,0.053,568,5,13,AE#CB#D##,435,2073
IterativeDeepening,0.097,207,5,13,AE#CB#D##,7704,13213
BFS,0.072,1952,6,12,AD#BC#E##,3788,20404
DFS,0.077,543,31,57,AD#BC#E##,383,1456
Uniform,0.086,577,6,13,AD#BC#E##,426,2064
IterativeDeepening,0.398,351,6,12,AD#BC#E##,21810,66651
BFS,0.108,2175,7,15,BAEC#D###,3977,21900
DFS,0.115,525,12,25,BAEC#D###,471,1914
Uniform,0.122,509,7,16,BAEC#D###,494,2132
IterativeDeepening,0.342,121,7,15,BAEC#D###,26358,65506
BFS,0.05,2836,5,13,EBD#A#C##,2161,14085
DFS,0.055,455,78,138,EBD#A#C##,185,790
Uniform,0.063,564,5,13,EBD#A#C##,439,2077
IterativeDeepening,0.11,190,5,13,EBD#A#C##,9372,12797
BFS,0.036,2041,5,12,EDBA#C###,743,5896
DFS,0.043,542,22,41,EDBA#C###,432,1692
Uniform,0.051,572,5,12,EDBA#C###,341,1889
IterativeDeepening,0.061,61,5,12,EDBA#C###,1746,2417
BFS,0.092,1582,7,15,ACED#B###,5299,25842
DFS,0.095,355,61,111,ACED#B###,111,518
Uniform,0.102,570,7,15,ACED#B###,433,2071
IterativeDeepening,0.884,601,7,15,ACED#B###,180891,220514
BFS,0.09,1314,5,12,BA#C#D#E#,3192,16380
DFS,0.102,531,10,19,BA#C#D#E#,459,1816
Uniform,0.112,523,5,12,BA#C#D#E#,480,2118
IterativeDeepening,0.369,622,5,12,BA#C#D#E#,31825,44484
BFS,0.081,2968,6,15,EBDA#C###,2890,18170
DFS,0.086,455,79,140,EBDA#C###,187,794
Uniform,0.093,569,6,15,EBDA#C###,434,2072
IterativeDeepening,0.204,171,6,15,EBDA#C###,19950,24921
BFS,0.049,1640,5,11,BC#A#D#E#,2810,15098
DFS,0.054,548,34,61,BC#A#D#E#,394,1529
Uniform,0.061,568,5,11,BC#A#D#E#,435,2073
IterativeDeepening,0.17,404,5,11,BC#A#D#E#,18365,31385
BFS,0.099,1901,7,15,DEA#BC###,5425,27316
DFS,0.105,540,31,57,DEA#BC###,384,1473
Uniform,0.112,528,7,15,DEA#BC###,475,2113
IterativeDeepening,0.698,582,7,15,DEA#BC###,92112,179514
BFS,0.068,1316,5,12,DA#B#C#E#,3197,16401
DFS,0.075,512,50,89,DA#B#C#E#,286,1100
Uniform,0.084,518,5,12,DA#B#C#E#,485,2123
IterativeDeepening,0.321,821,5,12,DA#B#C#E#,39343,52972
BFS,0.01,1107,4,10,DCE#AB###,293,2432
DFS,0.021,533,14,26,DCE#AB###,445,1756
Uniform,0.03,557,4,10,DCE#AB###,302,1763
IterativeDeepening,0.038,43,4,10,DCE#AB###,438,644
BFS,0.056,2716,5,13,CE#DB#A##,2110,13695
DFS,0.061,227,34,63,CE#DB#A##,63,297
Uniform,0.069,570,5,13,CE#DB#A##,433,2071
IterativeDeepening,0.126,217,5,13,CE#DB#A##,8424,14135
BFS,0.107,1467,6,14,BE#DA#C##,4758,23537
DFS,0.111,346,61,109,BE#DA#C##,100,481
Uniform,0.122,512,6,14,BE#DA#C##,491,2129
IterativeDeepening,0.605,1173,6,14,BE#DA#C##,98296,144893
BFS,0.043,2754,5,12,EBC#A#D##,1841,12299
DFS,0.046,403,69,119,EBC#A#D##,127,604
Uniform,0.052,559,5,13,EBC#A#D##,444,2082
IterativeDeepening,0.088,153,5,12,EBC#A#D##,6751,10142
BFS,0.01,1110,4,10,DCB#A#E##,298,2456
DFS,0.014,534,47,84,DCB#A#E##,330,1271
Uniform,0.026,599,4,10,DCB#A#E##,376,1986
IterativeDeepening,0.029,44,4,10,DCB#A#E##,249,691
BFS,0.06,1320,5,12,EA#B#C#D#,3207,16443
DFS,0.065,503,65,118,EA#B#C#D#,261,1029
Uniform,0.074,530,5,12,EA#B#C#D#,473,2111
IterativeDeepening,0.26,821,5,12,EA#B#C#D#,39343,52972
BFS,0.06,2635,5,11,DCA#B#E##,2819,17440
DFS,0.066,540,32,57,DCA#B#E##,382,1480
Uniform,0.073,606,5,11,DCA#B#E##,397,2035
IterativeDeepening,0.145,250,5,11,DCA#B#E##,17926,21486
BFS,0.088,1674,7,16,CEA#BD###,5995,28842
DFS,0.093,546,57,105,CEA#BD###,344,1364
Uniform,0.1,512,8,16,CEA#BD###,491,2129
IterativeDeepening,1.072,835,7,16,CEA#BD###,173883,261533
BFS,0.161,1508,6,14,DAE#B#C##,4987,24651
DFS,0.172,543,37,66,DAE#B#C##,373,1449
Uniform,0.188,529,6,14,DAE#B#C##,474,2112
IterativeDeepening,1.92,911,6,14,DAE#B#C##,113078,140736
BFS,0.011,273,4,10,EDCB#A###,59,450
DFS,0.038,100,14,26,EDCB#A###,16,95
Uniform,0.066,563,4,10,EDCB#A###,244,1557
IterativeDeepening,0.069,17,4,10,EDCB#A###,20,124
BFS,0.014,1160,5,13,DECB#A###,312,2553
DFS,0.032,529,13,26,DECB#A###,459,1834
Uniform,0.043,600,5,13,DECB#A###,403,2041
IterativeDeepening,0.057,27,5,13,DECB#A###,154,806
BFS,0.107,1640,5,11,BC#A#D#E#,2810,15098
DFS,0.126,548,34,61,BC#A#D#E#,394,1529
Uniform,0.135,568,5,11,BC#A#D#E#,435,2073
IterativeDeepening,0.341,404,5,11,BC#A#D#E#,18365,31385
BFS,0.129,1847,6,13,CAD#B#E##,4190,22013
DFS,0.136,548,32,57,CAD#B#E##,390,1500
Uniform,0.168,531,6,14,CAD#B#E##,472,2110
IterativeDeepening,0.747,480,6,13,CAD#B#E##,54060,81921
BFS,0.074,1298,5,12,AE#B#C#D#,3474,17450
DFS,0.08,540,44,79,AE#B#C#D#,348,1326
Uniform,0.087,509,5,12,AE#B#C#D#,494,2132
IterativeDeepening,0.25,611,5,12,AE#B#C#D#,34189,47029
BFS,0.106,1610,7,16,BEDC#A###,5772,27842
DFS,0.109,446,59,109,BEDC#A###,208,834
Uniform,0.117,548,7,16,BEDC#A###,455,2093
IterativeDeepening,0.99,612,7,16,BEDC#A###,200629,240274
BFS,0.044,2912,5,12,DCB#AE###,1625,11721
DFS,0.047,474,62,113,DCB#AE###,228,911
Uniform,0.056,598,5,12,DCB#AE###,381,1995
IterativeDeepening,0.085,113,5,12,DCB#AE###,6479,7908
BFS,0.06,2635,5,11,DCA#B#E##,2819,17440
DFS,0.065,540,32,57,DCA#B#E##,382,1480
Uniform,0.074,606,5,11,DCA#B#E##,397,2035
IterativeDeepening,0.151,250,5,11,DCA#B#E##,17926,21486
BFS,0.064,2272,5,13,CB#DA#E##,3061,17948
DFS,0.07,526,53,97,CB#DA#E##,304,1150
Uniform,0.077,534,5,13,CB#DA#E##,469,2107
IterativeDeepening,0.216,459,5,13,CB#DA#E##,25846,31607
BFS,0.0,131,3,8,EDC#AB###,29,207
DFS,0.007,530,13,26,EDC#AB###,456,1822
Uniform,0.014,527,3,8,EDC#AB###,190,1248
IterativeDeepening,0.017,15,3,8,EDC#AB###,14,49
BFS,0.064,1298,5,12,BE#A#C#D#,3474,17450
DFS,0.071,546,29,52,BE#A#C#D#,400,1535
Uniform,0.078,506,5,12,BE#A#C#D#,497,2135
IterativeDeepening,0.271,697,5,12,BE#A#C#D#,37653,50965
BFS,0.051,2799,5,13,CBE#A#D##,2141,13960
DFS,0.058,543,38,67,CBE#A#D##,369,1427
Uniform,0.066,549,5,13,CBE#A#D##,454,2092
IterativeDeepening,0.112,198,5,13,CBE#A#D##,9837,13341
BFS,0.086,3020,6,15,EBAD#C###,2911,18324
DFS,0.091,487,54,101,EBAD#C###,253,985
Uniform,0.1,566,6,15,EBAD#C###,437,2075
IterativeDeepening,0.212,171,6,15,EBAD#C###,19950,24921
BFS,0.016,1379,4,10,EDB#A#C##,403,3264
DFS,0.024,542,21,39,EDB#A#C##,430,1688
Uniform,0.035,604,4,10,EDB#A#C##,385,2009
IterativeDeepening,0.039,46,4,10,EDB#A#C##,486,920
BFS,0.068,1475,5,11,AD#B#C#E#,3129,16234
DFS,0.072,402,66,114,AD#B#C#E#,134,616
Uniform,0.079,521,5,12,AD#B#C#E#,482,2120
IterativeDeepening,0.224,518,5,11,AD#B#C#E#,26204,38949
BFS,0.035,1222,4,10,A#B#C#D#E,1539,8198
DFS,0.039,521,55,98,A#B#C#D#E,291,1113
Uniform,0.048,566,4,10,A#B#C#D#E,437,2075
IterativeDeepening,0.086,246,4,10,A#B#C#D#E,5736,9107
BFS,0.048,2176,4,9,DC#A#B#E#,1949,12137
DFS,0.051,486,50,94,DC#A#B#E#,258,993
Uniform,0.058,603,4,9,DC#A#B#E#,400,2038
IterativeDeepening,0.099,285,4,9,DC#A#B#E#,8710,10429
BFS,0.072,2935,6,15,CAE#DB###,3024,18859
DFS,0.079,548,33,59,CAE#DB###,386,1475
Uniform,0.088,533,6,15,CAE#DB###,470,2108
IterativeDeepening,0.195,174,6,15,CAE#DB###,16770,27446
BFS,0.073,2330,6,14,ADB#C#E##,3019,17838
DFS,0.078,539,53,96,ADB#C#E##,321,1227
Uniform,0.093,536,7,14,ADB#C#E##,467,2105
IterativeDeepening,0.3,88,6,14,ADB#C#E##,3873,31991
BFS,0.038,2328,4,10,DC#EB#A##,1025,7720
DFS,0.043,454,65,117,DC#EB#A##,196,813
Uniform,0.054,604,4,10,DC#EB#A##,385,2009
IterativeDeepening,0.073,123,4,10,DC#EB#A##,2853,3616
BFS,0.068,2551,5,11,BA#ED#C##,2813,17278
DFS,0.075,519,8,18,BA#ED#C##,479,1962
Uniform,0.082,595,5,11,BA#ED#C##,408,2046
IterativeDeepening,0.187,273,5,11,BA#ED#C##,16012,21681
BFS,0.045,2685,5,12,DBC#A#E##,1654,11219
DFS,0.051,542,47,84,DBC#A#E##,338,1291
Uniform,0.06,581,5,13,DBC#A#E##,422,2060
IterativeDeepening,0.103,122,5,12,DBC#A#E##,5040,8471
BFS,0.111,1462,6,14,BA#DE#C##,4788,23676
DFS,0.119,525,9,18,BA#DE#C##,469,1892
Uniform,0.128,515,6,14,BA#DE#C##,488,2126
IterativeDeepening,0.982,1172,6,14,BA#DE#C##,98305,144901
BFS,0.084,2214,6,15,CAB#D#E##,3101,18065
DFS,0.088,351,61,109,CAB#D#E##,97,484
Uniform,0.1,528,7,14,CAB#D#E##,475,2113
IterativeDeepening,0.331,136,6,15,CAB#D#E##,8513,36682
BFS,0.049,2184,4,9,EC#A#B#D#,1950,12148
DFS,0.055,517,49,91,EC#A#B#D#,299,1133
Uniform,0.064,614,4,9,EC#A#B#D#,389,2027
IterativeDeepening,0.114,285,4,9,EC#A#B#D#,8710,10429
BFS,0.113,1827,6,13,AC#BD#E##,4020,21131
DFS,0.122,530,44,78,AC#BD#E##,330,1258
Uniform,0.131,545,6,13,AC#BD#E##,458,2096
IterativeDeepening,0.466,465,6,13,AC#BD#E##,35653,80614
BFS,0.074,1590,6,13,BCE#A#D##,4806,24088
DFS,0.081,550,32,57,BCE#A#D##,388,1474
Uniform,0.088,546,6,13,BCE#A#D##,457,2095
IterativeDeepening,0.629,910,6,13,BCE#A#D##,97241,125530
BFS,0.014,1448,4,10,DB#EC#A##,471,3768
DFS,0.015,177,27,51,DB#EC#A##,37,199
Uniform,0.023,603,4,10,DB#EC#A##,394,2026
IterativeDeepening,0.029,67,4,10,DB#EC#A##,651,1358
BFS,0.081,1535,6,13,AE#CD#B##,4810,23881
DFS,0.086,537,43,78,AE#CD#B##,355,1373
Uniform,0.093,504,7,14,AE#CD#B##,499,2137
IterativeDeepening,0.558,1101,6,13,AE#CD#B##,90248,136769
BFS,0.091,1745,7,15,EAD#BC###,5567,27497
DFS,0.093,408,68,122,EAD#BC###,144,650
Uniform,0.101,521,7,15,EAD#BC###,482,2120
IterativeDeepening,0.828,756,7,15,EAD#BC###,128996,216562
BFS,0.074,1460,6,14,CD#EA#B##,4763,23541
DFS,0.079,400,67,121,CD#EA#B##,146,633
Uniform,0.086,571,6,13,CD#EA#B##,432,2070
IterativeDeepening,0.578,1356,6,14,CD#EA#B##,104349,152075
BFS,0.111,1802,7,14,ADE#BC###,5364,26931
DFS,0.113,307,49,91,ADE#BC###,93,429
Uniform,0.122,539,7,15,ADE#BC###,464,2102
IterativeDeepening,0.856,581,7,14,ADE#BC###,96021,183409
BFS,0.052,1314,5,12,CA#B#D#E#,3192,16380
DFS,0.056,486,55,99,CA#B#D#E#,252,1001
Uniform,0.063,505,5,12,CA#B#D#E#,498,2136
IterativeDeepening,0.235,777,5,12,CA#B#D#E#,37393,50785
BFS,0.094,1754,7,15,BECD#A###,5396,26829
DFS,0.1,514,57,103,BECD#A###,282,1086
Uniform,0.112,514,7,16,BECD#A###,489,2127
IterativeDeepening,0.706,493,7,15,BECD#A###,136571,176086
BFS,0.041,2911,5,12,ECB#AD###,1626,11729
DFS,0.044,469,63,113,ECB#AD###,219,882
Uniform,0.05,601,5,12,ECB#AD###,382,2000
IterativeDeepening,0.083,113,5,12,ECB#AD###,6479,7908
BFS,0.055,1640,5,11,BC#A#D#E#,2810,15098
DFS,0.062,548,34,61,BC#A#D#E#,394,1529
Uniform,0.068,568,5,11,BC#A#D#E#,435,2073
IterativeDeepening,0.181,404,5,11,BC#A#D#E#,18365,31385
BFS,0.061,2758,5,13,DBA#C#E##,2116,13838
DFS,0.064,411,66,113,DBA#C#E##,153,663
Uniform,0.072,583,5,13,DBA#C#E##,420,2058
IterativeDeepening,0.134,198,5,13,DBA#C#E##,9837,13341
BFS,0.093,1441,6,14,BA#CE#D##,4718,23375
DFS,0.101,525,9,18,BA#CE#D##,469,1892
Uniform,0.11,512,6,14,BA#CE#D##,491,2129
IterativeDeepening,0.939,1173,6,14,BA#CE#D##,98168,143835
BFS,0.077,2388,7,15,BACD#E###,3570,20547
DFS,0.083,531,13,25,BACD#E###,461,1844
Uniform,0.09,550,7,15,BACD#E###,453,2091
IterativeDeepening,0.263,90,7,15,BACD#E###,9422,48542
BFS,0.08,1614,7,16,CAED#B###,5610,27185
DFS,0.083,318,55,100,CAED#B###,84,422
Uniform,0.091,515,7,16,CAED#B###,488,2126
IterativeDeepening,0.89,616,7,16,CAED#B###,200622,240274
BFS,0.061,2325,6,14,ACB#D#E##,2999,17758
DFS,0.064,455,69,119,ACB#D#E##,191,803
