algo,time,roughMemoryEstimate,answerDepth,answerCost,startState,processedNodes,nodeInstancesCreated
BFS,0.002,20,3,5,BC#A#,19,52
DFS,0.005,13,3,5,BC#A#,7,17
Uniform,0.007,15,3,5,BC#A#,12,28
IterativeDeepening,0.011,12,3,5,BC#A#,23,44
BFS,0.003,20,4,7,BCA##,19,52
DFS,0.004,13,4,7,BCA##,7,17
Uniform,0.008,15,4,7,BCA##,12,28
IterativeDeepening,0.012,11,4,7,BCA##,28,51
BFS,0.002,20,3,5,BA#C#,16,47
DFS,0.004,13,3,5,BA#C#,11,25
Uniform,0.007,14,3,5,BA#C#,13,29
IterativeDeepening,0.01,12,3,5,BA#C#,18,41
BFS,0.003,20,3,5,BC#A#,19,52
DFS,0.006,13,3,5,BC#A#,7,17
Uniform,0.009,15,3,5,BC#A#,12,28
IterativeDeepening,0.014,12,3,5,BC#A#,23,44
BFS,0.0,2,0,0,ABC##,1,0
DFS,0.001,1,0,0,ABC##,1,0
Uniform,0.002,2,0,0,ABC##,1,0
IterativeDeepening,0.002,1,0,0,ABC##,1,0
BFS,0.001,11,1,2,AB#C#,4,12
DFS,0.004,6,1,2,AB#C#,2,3
Uniform,0.005,7,1,2,AB#C#,2,3
IterativeDeepening,0.008,4,1,2,AB#C#,4,3
BFS,0.019,20,3,5,BC#A#,19,52
DFS,0.025,13,3,5,BC#A#,7,17
Uniform,0.03,15,3,5,BC#A#,12,28
IterativeDeepening,0.034,12,3,5,BC#A#,23,44
BFS,0.001,14,2,4,CB#A#,6,19
DFS,0.003,13,2,4,CB#A#,13,29
Uniform,0.004,18,2,4,CB#A#,9,25
IterativeDeepening,0.007,6,2,4,CB#A#,4,9
BFS,0.002,20,3,5,AC#B#,19,52
DFS,0.003,13,3,5,AC#B#,7,17
Uniform,0.01,15,3,5,AC#B#,12,28
IterativeDeepening,0.021,12,3,5,AC#B#,23,44
BFS,0.005,14,3,6,CBA##,6,19
DFS,0.015,13,3,6,CBA##,13,29
Uniform,0.02,18,3,6,CBA##,9,25
IterativeDeepening,0.022,6,3,6,CBA##,6,12
BFS,0.005,20,3,5,BA#C#,16,47
DFS,0.008,13,3,5,BA#C#,11,25
Uniform,0.014,14,3,5,BA#C#,13,29
IterativeDeepening,0.02,12,3,5,BA#C#,18,41
BFS,0.001,17,2,3,A#B#C,12,32
DFS,0.003,13,2,3,A#B#C,9,21
Uniform,0.012,14,2,3,A#B#C,13,29
IterativeDeepening,0.013,9,2,3,A#B#C,10,21
BFS,0.002,20,3,5,BC#A#,19,52
