algo,time,roughMemoryEstimate,answerDepth,answerCost,startState,processedNodes,nodeInstancesCreated
BFS,0.0,4,2,3,BA#,3,3
DFS,0.002,3,2,3,BA#,3,3
Uniform,0.003,4,2,3,BA#,3,3
IterativeDeepening,0.006,3,2,3,BA#,3,4
BFS,0.0,2,0,0,AB#,1,0
DFS,0.001,1,0,0,AB#,1,0
Uniform,0.003,2,0,0,AB#,1,0
IterativeDeepening,0.004,1,0,0,AB#,1,0
BFS,0.0,4,2,3,BA#,3,3
DFS,0.001,3,2,3,BA#,3,3
Uniform,0.002,4,2,3,BA#,3,3
IterativeDeepening,0.004,3,2,3,BA#,3,4
BFS,0.003,4,1,1,A#B,3,3
DFS,0.012,4,1,1,A#B,2,2
Uniform,0.017,5,1,1,A#B,2,2
IterativeDeepening,0.019,3,1,1,A#B,3,2
BFS,0.002,4,1,1,A#B,3,3
DFS,0.009,4,1,1,A#B,2,2
Uniform,0.012,5,1,1,A#B,2,2
IterativeDeepening,0.014,3,1,1,A#B,3,2
BFS,0.0,4,1,1,A#B,3,3
DFS,0.001,4,1,1,A#B,2,2
Uniform,0.003,5,1,1,A#B,2,2
IterativeDeepening,0.004,3,1,1,A#B,3,2
BFS,0.0,4,2,3,BA#,3,3
DFS,0.001,3,2,3,BA#,3,3
Uniform,0.002,4,2,3,BA#,3,3
IterativeDeepening,0.004,3,2,3,BA#,3,4
BFS,0.0,2,0,0,AB#,1,0
DFS,0.001,1,0,0,AB#,1,0
Uniform,0.001,2,0,0,AB#,1,0
IterativeDeepening,0.003,1,0,0,AB#,1,0
BFS,0.0,4,1,1,A#B,3,3
DFS,0.001,4,1,1,A#B,2,2
Uniform,0.002,5,1,1,A#B,2,2
IterativeDeepening,0.003,3,1,1,A#B,3,2
