algo,time,roughMemoryEstimate,answerDepth,answerCost,startState,processedNodes,nodeInstancesCreated
BFS,3.56,57381,6,15,FEA#DC#B###,40977,349178
DFS,3.656,4524,301,535,FEA#DC#B###,2722,12368
Uniform,3.83,4626,6,15,FEA#DC#B###,3281,20333
IterativeDeepening,9.402,2186,6,15,FEA#DC#B###,498081,582273
BFS,2.796,14952,7,18,BDA#C#E#F##,88689,526110
DFS,2.832,4179,565,1008,BDA#C#E#F##,1591,7571
Uniform,2.93,4643,8,16,BDA#C#E#F##,3460,20708
IterativeDeepening,71.046,51750,7,18,BDA#C#E#F##,13477551,16050976
BFS,2.884,17016,6,16,BE#A#C#D#F#,59234,362920
DFS,2.959,4519,275,482,BE#A#C#D#F#,2837,12942
Uniform,3.067,4278,6,17,BE#A#C#D#F#,3825,21073
IterativeDeepening,22.238,20063,6,16,BE#A#C#D#F#,2805852,3680212
BFS,4.332,39426,8,21,DABC#E#F###,81574,556889
DFS,4.35,1593,192,339,DABC#E#F###,241,1689
Uniform,4.474,4140,8,21,DABC#E#F###,3963,21211
BFS,1.518,54889,6,17,CDF#AB#E###,36321,317229
DFS,1.55,3170,456,815,CDF#AB#E###,836,4601
Uniform,1.686,4558,7,15,CDF#AB#E###,3191,20085
IterativeDeepening,4.27,1605,6,17,CDF#AB#E###,361356,443902
BFS,2.49,27972,8,19,BCFD#A#E###,104181,644362
DFS,2.508,2922,424,746,BCFD#A#E###,644,3912
Uniform,2.588,4266,8,20,BCFD#A#E###,3837,21085
IterativeDeepening,73.265,21672,8,19,BCFD#A#E###,12316599,17131389
BFS,1.087,43767,6,17,AE#CB#D#F##,41695,320315
DFS,1.17,4477,189,333,AE#CB#D#F##,3215,15040
Uniform,1.271,4383,6,17,AE#CB#D#F##,3720,20968
IterativeDeepening,5.99,3841,6,17,AE#CB#D#F##,518063,862876
BFS,3.53,15776,7,18,BF#CE#A#D##,95584,560628
DFS,3.566,4082,552,970,BF#CE#A#D##,1524,7350
Uniform,3.652,4285,8,18,BF#CE#A#D##,3818,21066
BFS,2.463,14953,7,19,DE#FA#B#C##,94446,552062
DFS,2.495,4295,585,1038,DE#FA#B#C##,1717,8023
Uniform,2.599,4205,7,18,DE#FA#B#C##,3898,21146
IterativeDeepening,84.829,63013,7,18,BF#CE#A#D##,12765650,16977465
BFS,4.469,26083,9,22,BEDF#CA####,137416,784694
DFS,4.524,4173,548,982,BEDF#CA####,1595,7576
Uniform,4.675,4103,9,22,BEDF#CA####,4000,21248
IterativeDeepening,109.695,64319,7,19,DE#FA#B#C##,13367427,17580559
BFS,3.111,26629,8,20,CEAD#B#F###,105487,647355
DFS,3.176,4660,350,623,CEAD#B#F###,2636,11624
Uniform,3.301,4278,8,20,CEAD#B#F###,3825,21073
BFS,1.714,53934,7,19,CFDB#A#E###,37428,318430
DFS,1.815,4594,381,669,CFDB#A#E###,2432,10789
Uniform,1.981,4441,7,19,CFDB#A#E###,3662,20910
IterativeDeepening,4.727,391,7,19,CFDB#A#E###,152210,573721
