algo,time,roughMemoryEstimate,answerDepth,answerCost,startState,processedNodes,nodeInstancesCreated
IterativeDeepening,90.595,22001,8,20,CEAD#B#F###,13524916,18340037
BFS,5.97,54959,9,23,EBACFD#####,65711,488855
DFS,6.042,2749,405,710,EBACFD#####,529,3401
Uniform,6.565,4226,9,24,EBACFD#####,3877,21125
BFS,2.866,27520,8,19,BCE#DA#F###,110729,675639
DFS,2.912,4523,425,754,BCE#DA#F###,2287,10254
Uniform,2.994,4167,8,20,BCE#DA#F###,3936,21184
BFS,1.925,51957,7,20,DFBA#C#E###,66132,490442
DFS,1.95,3995,633,1113,DFBA#C#E###,1335,6651
Uniform,2.035,4259,7,20,DFBA#C#E###,3844,21092
IterativeDeepening,11.583,5785,7,20,DFBA#C#E###,1936168,2363070
BFS,1.523,37933,6,16,BA#EC#D#F##,59211,425756
DFS,1.564,4177,594,1050,BA#EC#D#F##,1573,7578
Uniform,1.695,4548,6,16,BA#EC#D#F##,3555,20803
IterativeDeepening,8.278,8118,6,16,BA#EC#D#F##,1316384,1668996
BFS,1.285,64039,7,19,ABD#CEF####,44504,381134
DFS,1.346,4590,219,381,ABD#CEF####,3146,14312
Uniform,1.453,4602,7,19,ABD#CEF####,3501,20749
IterativeDeepening,4.298,951,7,19,ABD#CEF####,512108,702969
BFS,0.17,17254,5,14,FDB#EC#A###,4473,47469
DFS,0.213,4527,251,444,FDB#EC#A###,2957,13552
Uniform,0.277,4537,5,14,FDB#EC#A###,3154,19990
IterativeDeepening,0.345,179,5,14,FDB#EC#A###,10065,17869
BFS,0.416,36056,5,15,AB#DE#FC###,13305,133191
DFS,0.439,4067,594,1046,AB#DE#FC###,1441,7015
Uniform,0.511,4552,5,14,AB#DE#FC###,3163,20023
IterativeDeepening,0.828,625,5,15,AB#DE#FC###,66148,78825
BFS,0.43,36061,5,15,AB#DF#EC###,13308,133190
DFS,0.47,4560,332,577,AB#DF#EC###,2672,12091
Uniform,0.536,4622,5,15,AB#DF#EC###,3285,20337
IterativeDeepening,0.84,625,5,15,AB#DF#EC###,66148,78825
BFS,1.223,21360,6,16,BC#A#D#E#F#,51959,334766
DFS,1.273,4540,321,566,BC#A#D#E#F#,2606,11724
Uniform,1.364,4363,6,16,BC#A#D#E#F#,3740,20988
IterativeDeepening,9.997,8570,6,16,BC#A#D#E#F#,1235130,2098011
BFS,2.066,53403,7,15,FEA#BD#C###,75022,540071
DFS,2.137,4558,231,405,FEA#BD#C###,3060,14012
Uniform,2.247,4615,7,15,FEA#BD#C###,3252,20264
IterativeDeepening,14.831,8016,7,15,FEA#BD#C###,2331015,3252605
BFS,2.033,16513,7,18,AF#BC#D#E##,90844,539005
DFS,2.049,2920,454,789,AF#BC#D#E##,692,3972
Uniform,2.144,4207,7,18,AF#BC#D#E##,3896,21144
IterativeDeepening,59.187,53776,7,18,AF#BC#D#E##,10725321,14835718
BFS,2.101,15822,7,18,BEF#A#C#D##,97960,575688
DFS,2.106,1191,152,267,BEF#A#C#D##,187,1250
Uniform,2.175,4065,7,19,BEF#A#C#D##,4038,21286
IterativeDeepening,65.54,49449,7,18,BEF#A#C#D##,13985654,16524932
BFS,1.877,22319,7,15,BE#CD#A#F##,84468,519397
DFS,1.905,4341,492,859,BE#CD#A#F##,1915,8725
Uniform,1.996,4601,7,15,BE#CD#A#F##,3502,20750
IterativeDeepening,43.041,36708,7,15,BE#CD#A#F##,6242706,10428224
BFS,1.06,50967,7,19,CBAD#E#F###,38212,319662
DFS,1.081,3566,541,970,CBAD#E#F###,1028,5472
Uniform,1.181,4581,8,18,CBAD#E#F###,3522,20770
IterativeDeepening,3.821,582,7,19,CBAD#E#F###,236705,658407
BFS,1.314,46362,6,17,EBD#A#C#F##,43752,336785
DFS,1.348,4459,428,749,EBD#A#C#F##,2187,9786
Uniform,1.423,4512,6,17,EBD#A#C#F##,3591,20839
IterativeDeepening,4.84,3097,6,17,EBD#A#C#F##,630760,843808
BFS,1.138,55319,6,17,ABF#CE#D###,37136,322432
DFS,1.183,4427,188,334,ABF#CE#D###,3089,14518
Uniform,1.257,4639,6,17,ABF#CE#D###,3464,20712
IterativeDeepening,3.014,1613,6,17,ABF#CE#D###,388412,470966
BFS,2.728,26862,8,20,DAC#BE#F###,112909,683630
DFS,2.745,1212,155,273,DAC#BE#F###,190,1270
Uniform,2.882,4094,8,20,DAC#BE#F###,4009,21257
IterativeDeepening,90.093,26427,8,20,DAC#BE#F###,12024946,22660833
BFS,1.905,50972,7,19,FBCA#D#E###,68545,502074
DFS,1.932,4227,593,1047,FBCA#D#E###,1619,7706
Uniform,2.03,4438,7,19,FBCA#D#E###,3665,20913
IterativeDeepening,12.46,6165,7,19,FBCA#D#E###,2181459,2608750
BFS,2.613,23782,9,22,EFACD#B####,125321,723361
DFS,2.675,4286,80,146,EFACD#B####,3714,18519
Uniform,2.744,4284,9,22,EFACD#B####,3819,21067
IterativeDeepening,149.702,13479,9,22,EFACD#B####,31915562,38325875
BFS,3.052,19498,8,20,CDE#AF#B###,131464,751332
DFS,3.106,4455,151,263,CDE#AF#B###,3341,15727
Uniform,3.175,4586,8,17,CDE#AF#B###,3517,20765
IterativeDeepening,187.973,73572,8,20,CDE#AF#B###,37330448,48013473
BFS,0.774,50619,6,17,FCA#DB#E###,27112,246188
DFS,0.831,4346,102,186,FCA#DB#E###,3574,17473
Uniform,0.903,4550,6,17,FCA#DB#E###,3553,20801
IterativeDeepening,2.137,1244,6,17,FCA#DB#E###,216859,299052
BFS,0.582,31290,5,15,DB#FE#A#C##,12245,117480
DFS,0.63,4496,178,312,DB#FE#A#C##,3256,15167
Uniform,0.701,4658,5,15,DB#FE#A#C##,3445,20693
IterativeDeepening,0.982,499,5,15,DB#FE#A#C##,39292,69035
BFS,1.196,43917,6,18,AE#FB#C#D##,49084,367532
DFS,1.251,4357,106,187,AE#FB#C#D##,3583,17444
Uniform,1.324,4299,6,18,AE#FB#C#D##,3804,21052
IterativeDeepening,6.1,5988,6,18,AE#FB#C#D##,823434,1173914
BFS,1.399,38546,6,16,BA#FD#C#E##,59942,430760
DFS,1.421,3912,568,1002,BA#FD#C#E##,1304,6520
Uniform,1.495,4566,6,16,BA#FD#C#E##,3537,20785
IterativeDeepening,8.172,8132,6,16,BA#FD#C#E##,1326817,1679431
BFS,0.386,33479,7,18,ABDEC#F####,12329,123222
DFS,0.396,2400,356,616,ABDEC#F####,492,2988
Uniform,0.463,4666,7,18,ABDEC#F####,3345,20501
IterativeDeepening,0.778,122,7,18,ABDEC#F####,31340,84483
BFS,1.105,56760,6,17,FBE#DC#A###,36643,322022
DFS,1.175,4399,135,235,FBE#DC#A###,3483,16865
Uniform,1.263,4676,6,17,FBE#DC#A###,3427,20675
IterativeDeepening,3.053,1601,6,17,FBE#DC#A###,351060,434653
BFS,1.75,24253,7,18,AC#BF#D#E##,80253,503931
DFS,1.771,3946,624,1092,AC#BF#D#E##,1292,6571
Uniform,1.849,4267,7,18,AC#BF#D#E##,3836,21084
IterativeDeepening,30.731,17499,7,18,AC#BF#D#E##,3294837,7368957
BFS,0.938,44058,6,17,AC#DB#E#F##,34658,278865
DFS,0.965,4178,605,1079,AC#DB#E#F##,1546,7392
Uniform,1.041,4344,6,17,AC#DB#E#F##,3759,21007
IterativeDeepening,3.24,1598,6,17,AC#DB#E#F##,194403,536989
BFS,2.087,45639,7,19,EFCD#A#B###,83685,581489
DFS,2.104,3332,515,914,EFCD#A#B###,872,4864
Uniform,2.171,4502,7,19,EFCD#A#B###,3601,20849
IterativeDeepening,18.562,8430,7,19,EFCD#A#B###,3673142,4102708
BFS,1.194,17016,6,16,BE#A#C#D#F#,59234,362920
DFS,1.258,4519,275,482,BE#A#C#D#F#,2837,12942
Uniform,1.353,4278,6,17,BE#A#C#D#F#,3825,21073
IterativeDeepening,15.901,20063,6,16,BE#A#C#D#F#,2805852,3680212
BFS,0.93,47720,6,18,EFB#A#C#D##,34781,286935
DFS,0.978,4549,232,404,EFB#A#C#D##,3077,14176
Uniform,1.054,4445,6,18,EFB#A#C#D##,3658,20906
IterativeDeepening,2.935,1013,6,18,EFB#A#C#D##,213293,421718
BFS,1.822,14987,7,19,DA#EF#B#C##,94822,555184
DFS,1.843,3943,634,1119,DA#EF#B#C##,1269,6474
Uniform,1.913,4075,7,19,DA#EF#B#C##,4028,21276
IterativeDeepening,70.217,64320,7,19,DA#EF#B#C##,13367427,17580559
BFS,2.071,45022,7,19,EFCA#B#D###,81506,569086
DFS,2.096,4045,584,1036,EFCA#B#D###,1417,6985
Uniform,2.171,4455,7,19,EFCA#B#D###,3648,20896
IterativeDeepening,18.337,8841,7,19,EFCA#B#D###,3672732,4102708
BFS,3.107,23558,9,22,BFC#DEA####,156139,870038
DFS,3.145,4609,350,620,BFC#DEA####,2637,11803
Uniform,3.217,4069,10,22,BFC#DEA####,4034,21282
IterativeDeepening,303.365,35599,9,22,BFC#DEA####,53948390,78426630
BFS,0.164,17563,5,14,ABD#EC#F###,4740,49644
DFS,0.199,4387,498,888,ABD#EC#F###,1949,8907
Uniform,0.28,4563,5,15,ABD#EC#F###,3188,20084
IterativeDeepening,0.36,153,5,14,ABD#EC#F###,10193,17861
BFS,1.766,58019,7,19,FBC#DE#A###,55546,435596
DFS,1.81,4556,376,655,FBC#DE#A###,2494,11202
Uniform,1.901,4134,7,20,FBC#DE#A###,3969,21217
IterativeDeepening,7.384,2063,7,19,FBC#DE#A###,476095,1402589
BFS,2.236,17124,8,20,BDFA#C#E###,116906,677647
DFS,2.242,1228,143,254,BDFA#C#E###,176,1234
Uniform,2.31,4589,9,18,BDFA#C#E###,3514,20762
IterativeDeepening,147.891,47806,8,20,BDFA#C#E###,33304625,38145550
BFS,2.132,49491,7,20,EBAF#C#D###,74560,535301
DFS,2.182,4462,151,269,EBAF#C#D###,3344,15820
Uniform,2.252,4372,7,20,EBAF#C#D###,3731,20979
IterativeDeepening,14.307,6775,7,20,EBAF#C#D###,2686338,3114230
BFS,1.205,14349,6,17,DA#B#C#E#F#,59673,361498
DFS,1.264,4515,362,632,DA#B#C#E#F#,2453,10926
Uniform,1.368,4080,6,17,DA#B#C#E#F#,4023,21271
IterativeDeepening,18.532,26647,6,17,DA#B#C#E#F#,3496926,4385919
BFS,3.133,23649,9,22,BED#CAF####,151539,848138
DFS,3.169,4503,551,968,BED#CAF####,1969,8930
Uniform,3.243,4180,9,22,BED#CAF####,3923,21171
BFS,2.439,51397,7,20,AE#CB#DF###,75606,541935
DFS,2.452,2335,330,575,AE#CB#DF###,417,2751
Uniform,2.537,4175,7,20,AE#CB#DF###,3928,21176
IterativeDeepening,18.55,10776,7,20,AE#CB#DF###,2127596,3681265
BFS,1.711,43129,6,18,DA#FB#C#E##,48625,364352
DFS,1.783,4490,197,347,DA#FB#C#E##,3218,14997
Uniform,1.887,4171,6,18,DA#FB#C#E##,3932,21180
BFS,2.162,27318,7,17,BC#DE#A#F##,76916,493469
DFS,2.198,4273,573,996,BC#DE#A#F##,1715,8006
Uniform,2.292,4207,7,18,BC#DE#A#F##,3896,21144
IterativeDeepening,28.075,13219,7,17,BC#DE#A#F##,1962108,6124140
BFS,0.706,32161,5,16,CB#A#D#E#F#,16263,144486
DFS,0.754,4531,339,595,CB#A#D#E#F#,2599,11746
Uniform,0.84,4464,5,16,CB#A#D#E#F#,3639,20887
IterativeDeepening,1.242,354,5,16,CB#A#D#E#F#,26090,94997
BFS,2.966,51470,7,20,EBA#DF#C###,82380,580010
DFS,2.996,4250,556,986,EBA#DF#C###,1656,7803
Uniform,3.08,4143,7,20,EBA#DF#C###,3960,21208
IterativeDeepening,21.036,9477,7,20,EBA#DF#C###,3024277,3958177
BFS,1.849,38729,6,16,EA#FC#B#D##,59810,430323
DFS,1.879,4011,627,1105,EA#FC#B#D##,1301,6630
Uniform,1.963,4387,6,16,EA#FC#B#D##,3716,20964
IterativeDeepening,8.905,8888,6,16,EA#FC#B#D##,1354878,1711794
BFS,1.324,42826,6,18,DA#EB#C#F##,48403,362693
DFS,1.36,4500,461,805,DA#EB#C#F##,2186,9693
Uniform,1.438,4141,6,18,DA#EB#C#F##,3962,21210
IterativeDeepening,6.487,6673,6,18,DA#EB#C#F##,858815,1213506
BFS,0.419,29339,4,14,AB#C#D#E#F#,10831,108376
DFS,0.456,3825,610,1076,AB#C#D#E#F#,1173,6089
Uniform,0.575,4744,4,14,AB#C#D#E#F#,3359,20607
IterativeDeepening,0.727,330,4,14,AB#C#D#E#F#,29362,34893
BFS,0.365,28857,5,15,DB#FC#A#E##,10467,102501
DFS,0.388,3592,568,996,DB#FC#A#E##,1048,5649
Uniform,0.458,4661,5,15,DB#FC#A#E##,3442,20690
IterativeDeepening,0.702,459,5,15,DB#FC#A#E##,28640,58350
BFS,2.54,58772,8,19,EDFA#BC####,97834,672476
DFS,2.609,4114,24,46,EDFA#BC####,3946,20484
Uniform,2.682,4638,8,19,EDFA#BC####,3463,20709
IterativeDeepening,26.0,4260,8,19,EDFA#BC####,4252700,5827562
BFS,2.452,40269,7,20,CFB#EA#D###,96122,632666
DFS,2.468,2759,414,722,CFB#EA#D###,585,3553
Uniform,2.555,4166,7,20,CFB#EA#D###,3937,21185
IterativeDeepening,36.356,22252,7,20,CFB#EA#D###,7405000,8351675
BFS,1.549,14092,6,17,BF#A#C#D#E#,63828,380920
DFS,1.6,4498,245,429,BF#A#C#D#E#,2974,13753
Uniform,1.673,4075,6,17,BF#A#C#D#E#,4028,21276
IterativeDeepening,18.811,23030,6,17,BF#A#C#D#E#,3405503,4282844
BFS,1.673,56154,7,19,CAB#FE#D###,56340,438238
DFS,1.753,4234,55,101,CAB#FE#D###,3804,19146
Uniform,1.835,4367,7,18,CAB#FE#D###,3736,20984
IterativeDeepening,8.113,2352,7,19,CAB#FE#D###,567836,1494608
BFS,1.846,14923,7,18,BA#DE#C#F##,92709,544713
DFS,1.885,4569,339,591,BA#DE#C#F##,2643,11913
Uniform,1.958,4056,7,19,BA#DE#C#F##,4047,21295
IterativeDeepening,67.144,57975,7,18,BA#DE#C#F##,12328258,16488651
BFS,2.603,37839,7,17,EFD#BA#C###,100836,651378
DFS,2.64,4592,372,661,EFD#BA#C###,2530,11179
Uniform,2.713,4539,7,17,EFD#BA#C###,3564,20812
IterativeDeepening,44.978,25816,7,17,EFD#BA#C###,9105613,10045025
BFS,1.334,46146,6,18,EBF#A#C#D##,50771,381568
DFS,1.339,1189,152,267,EBF#A#C#D##,187,1250
Uniform,1.412,4288,6,18,EBF#A#C#D##,3815,21063
IterativeDeepening,5.863,4394,6,18,EBF#A#C#D##,912023,1123829
BFS,1.837,55402,8,22,CFEBD#A####,67915,502382
DFS,1.847,2103,292,510,CFEBD#A####,417,2541
Uniform,1.921,4243,8,22,CFEBD#A####,3860,21108
IterativeDeepening,11.504,1755,8,22,CFEBD#A####,1891310,2460102
BFS,0.903,45995,6,17,DEB#A#C#F##,31727,264855
DFS,0.918,2890,414,738,DEB#A#C#F##,650,3872
Uniform,0.997,4242,6,18,DEB#A#C#F##,3861,21109
IterativeDeepening,2.624,985,6,17,DEB#A#C#F##,179847,390784
BFS,0.935,45856,6,15,AC#FE#B#D##,34468,280983
DFS,0.982,4571,387,681,AC#FE#B#D##,2467,11027
Uniform,1.063,4614,6,15,AC#FE#B#D##,3489,20737
IterativeDeepening,3.197,1054,6,15,AC#FE#B#D##,136354,481913
BFS,1.231,14376,6,17,EA#B#C#D#F#,59827,362266
DFS,1.239,1696,209,366,EA#B#C#D#F#,282,1890
Uniform,1.317,4167,6,17,EA#B#C#D#F#,3936,21184
IterativeDeepening,18.667,26647,6,17,EA#B#C#D#F#,3496926,4385919
BFS,2.54,19403,8,20,CED#AF#B###,132037,753670
DFS,2.574,4495,407,718,CED#AF#B###,2311,10295
Uniform,2.645,4086,8,21,CED#AF#B###,4017,21265
IterativeDeepening,198.829,74005,8,20,CED#AF#B###,38123580,48807032
BFS,2.977,53741,8,20,BAD#ECF####,102871,692749
DFS,3.029,4554,212,372,BAD#ECF####,3168,14635
Uniform,3.098,4594,8,19,BAD#ECF####,3509,20757
IterativeDeepening,31.469,5107,8,20,BAD#ECF####,4894870,7018390
BFS,0.119,14034,5,15,DEC#AB#F###,3460,36770
DFS,0.154,4569,378,661,DEC#AB#F###,2407,10492
Uniform,0.222,4675,5,16,DEC#AB#F###,3364,20548
IterativeDeepening,0.268,101,5,15,DEC#AB#F###,4244,11870
BFS,1.183,56053,6,18,ABE#CF#D###,39521,338990
DFS,1.191,1590,189,334,ABE#CF#D###,238,1670
Uniform,1.282,4370,6,18,ABE#CF#D###,3733,20981
IterativeDeepening,3.401,1660,6,18,ABE#CF#D###,423956,506549
BFS,2.251,40579,7,16,CDB#AE#F###,93957,622624
DFS,2.282,4346,523,928,CDB#AE#F###,1862,8577
Uniform,2.362,4674,7,16,CDB#AE#F###,3395,20609
IterativeDeepening,31.476,17829,7,16,CDB#AE#F###,6368742,7300141
BFS,2.763,19332,8,20,AFE#BC#D###,128291,735093
DFS,2.771,1769,236,421,AFE#BC#D###,319,2045
Uniform,2.842,4202,8,20,AFE#BC#D###,3901,21149
IterativeDeepening,191.66,69303,8,20,AFE#BC#D###,36531130,47209892
BFS,1.269,44083,6,15,BE#DC#A#F##,47591,357484
DFS,1.322,4553,519,911,BE#DC#A#F##,2133,9577
Uniform,1.416,4649,6,15,BE#DC#A#F##,3454,20702
IterativeDeepening,6.311,6488,6,15,BE#DC#A#F##,820900,1175420
BFS,2.184,53256,7,19,FAC#DB#E###,68479,501311
DFS,2.218,4599,404,713,FAC#DB#E###,2373,10309
Uniform,2.297,4333,8,19,FAC#DB#E###,3770,21018
IterativeDeepening,14.025,7046,7,19,FAC#DB#E###,1870662,2791281
BFS,2.567,35839,9,21,BCFAD#E####,97050,619689
DFS,2.591,4118,587,1040,BCFAD#E####,1526,7340
Uniform,2.664,4491,9,21,BCFAD#E####,3612,20860
IterativeDeepening,45.466,1827,9,21,BCFAD#E####,4393746,10792404
BFS,2.233,20713,7,18,AD#BE#C#F##,85109,519412
DFS,2.257,4076,628,1124,AD#BE#C#F##,1400,6958
Uniform,2.325,4654,7,15,AD#BE#C#F##,3449,20697
IterativeDeepening,46.616,36462,7,18,AD#BE#C#F##,7039576,11132648
BFS,0.502,32182,5,16,FB#A#C#D#E#,16230,144336
DFS,0.523,3724,558,997,FB#A#C#D#E#,1186,6074
Uniform,0.594,4388,5,16,FB#A#C#D#E#,3715,20963
IterativeDeepening,0.999,418,5,16,FB#A#C#D#E#,31068,100499
BFS,2.05,20745,7,18,EAD#B#C#F##,88278,537394
DFS,2.105,4456,183,318,EAD#B#C#F##,3246,15315
Uniform,2.183,4331,7,18,EAD#B#C#F##,3772,21020
IterativeDeepening,45.534,29576,7,18,EAD#B#C#F##,8436015,10924058
BFS,2.123,50115,8,21,DBEAF#C####,81342,567510
DFS,2.142,3687,574,1002,DBEAF#C####,1085,5697
Uniform,2.224,4438,8,21,DBEAF#C####,3665,20913
IterativeDeepening,19.778,3007,8,21,DBEAF#C####,3838231,4408271
BFS,0.515,40699,6,17,DBC#FE#A###,16610,160590
DFS,0.545,4344,532,954,DBC#FE#A###,1826,8439
Uniform,0.628,4609,6,17,DBC#FE#A###,3494,20742
IterativeDeepening,1.103,290,6,17,DBC#FE#A###,40544,121764
BFS,2.062,22747,7,18,FAC#B#D#E##,85294,527780
DFS,2.091,2891,413,736,FAC#B#D#E##,637,3820
Uniform,2.176,4294,7,18,FAC#B#D#E##,3809,21057
IterativeDeepening,36.873,21546,7,18,FAC#B#D#E##,6225944,8675072
BFS,2.655,16908,8,21,BFEA#C#D###,118124,683099
DFS,2.684,4377,515,915,BFEA#C#D###,1875,8603
Uniform,2.753,4133,8,21,BFEA#C#D###,3970,21218
IterativeDeepening,160.9,48091,8,21,BFEA#C#D###,34701017,39542227
BFS,3.116,26865,9,23,AECBF#D####,111032,663997
DFS,3.124,1611,195,344,AECBF#D####,259,1750
Uniform,3.195,4170,9,22,AECBF#D####,3933,21181
IterativeDeepening,112.738,9142,9,23,AECBF#D####,17788763,24194761
BFS,2.0,56879,7,19,EAB#FD#C###,56597,440599
DFS,2.051,4555,423,750,EAB#FD#C###,2361,10591
Uniform,2.182,4365,7,18,EAB#FD#C###,3738,20986
IterativeDeepening,9.519,2166,7,19,EAB#FD#C###,558887,1474194
BFS,0.37,28746,5,15,DB#EC#A#F##,10446,102197
DFS,0.424,4487,190,327,DB#EC#A#F##,3181,14732
Uniform,0.504,4660,5,15,DB#EC#A#F##,3443,20691
IterativeDeepening,0.757,459,5,15,DB#EC#A#F##,28640,58350
BFS,0.062,6652,4,14,ABCF#D#E###,1223,13938
DFS,0.133,4395,136,238,ABCF#D#E###,3445,16597
Uniform,0.216,4331,4,14,ABCF#D#E###,2876,19183
IterativeDeepening,0.232,95,4,14,ABCF#D#E###,2315,2807
BFS,2.453,15204,7,18,DEA#B#C#F##,96420,566322
DFS,2.497,4552,373,649,DEA#B#C#F##,2502,11250
Uniform,2.58,4251,7,18,DEA#B#C#F##,3852,21100
IterativeDeepening,75.715,45914,7,18,DEA#B#C#F##,13707396,16211773
BFS,2.233,27969,7,16,BD#EF#A#C##,78557,503275
DFS,2.247,1726,220,384,BD#EF#A#C##,282,1904
Uniform,2.325,4594,7,16,BD#EF#A#C##,3509,20757
IterativeDeepening,30.215,13731,7,16,BD#EF#A#C##,2031188,6193754
BFS,2.198,14376,6,17,EA#B#C#D#F#,59827,362266
DFS,2.207,1696,209,366,EA#B#C#D#F#,282,1890
Uniform,2.296,4167,6,17,EA#B#C#D#F#,3936,21184
IterativeDeepening,23.832,26647,6,17,EA#B#C#D#F#,3496926,4385919
BFS,2.459,47091,9,24,CBAFED#####,80473,555663
DFS,2.525,4432,152,267,CBAFED#####,3394,16162
Uniform,2.609,4378,9,24,CBAFED#####,3725,20973
IterativeDeepening,23.723,659,9,24,CBAFED#####,4151882,4725434
BFS,1.356,54516,8,21,EBCAD#F####,41763,349013
DFS,1.402,4578,385,667,EBCAD#F####,2456,10900
Uniform,1.488,4469,8,21,EBCAD#F####,3634,20882
IterativeDeepening,5.126,327,8,21,EBCAD#F####,224539,791912
BFS,1.316,46471,6,17,DBE#A#C#F##,43793,337064
DFS,1.36,4603,401,707,DBE#A#C#F##,2387,10369
Uniform,1.445,4439,6,18,DBE#A#C#F##,3664,20912
IterativeDeepening,5.368,3097,6,17,DBE#A#C#F##,631015,844058
BFS,0.199,19208,4,13,AB#DC#E#F##,4889,53585
DFS,0.241,4590,367,649,AB#DC#E#F##,2520,11240
Uniform,0.323,4600,4,13,AB#DC#E#F##,3237,20219
IterativeDeepening,0.386,215,4,13,AB#DC#E#F##,11391,14002
BFS,1.609,19035,6,16,CD#A#B#E#F#,55919,349989
DFS,1.633,3817,592,1056,CD#A#B#E#F#,1219,6224
Uniform,1.718,4593,7,14,CD#A#B#E#F#,3510,20758
IterativeDeepening,15.252,15986,6,16,CD#A#B#E#F#,2110913,2989242
BFS,1.614,63474,7,19,EDFA#CB####,38640,340317
DFS,1.651,4535,412,726,EDFA#CB####,2305,10199
Uniform,1.734,4619,7,19,EDFA#CB####,3480,20724
IterativeDeepening,4.103,808,7,19,EDFA#CB####,399095,542075
BFS,1.634,14092,6,17,AF#B#C#D#E#,63822,380884
DFS,1.748,4239,57,103,AF#B#C#D#E#,3779,18898
Uniform,1.868,4170,6,17,AF#B#C#D#E#,3933,21181
IterativeDeepening,19.666,17960,6,17,AF#B#C#D#E#,3131225,3979643
BFS,3.085,20884,8,20,EAF#BC#D###,125302,725647
DFS,3.138,4462,243,424,EAF#BC#D###,3036,14295
Uniform,3.224,4106,8,20,EAF#BC#D###,3997,21245
IterativeDeepening,190.608,65184,8,20,EAF#BC#D###,30604812,41279455
BFS,1.54,57338,6,15,FDA#EC#B###,40948,349040
DFS,1.575,3605,540,957,FDA#EC#B###,1063,5603
Uniform,1.711,4553,6,15,FDA#EC#B###,3184,20066
IterativeDeepening,4.28,2186,6,15,FDA#EC#B###,497826,582023
BFS,3.094,19508,8,21,CAE#DF#B###,132409,753598
DFS,3.113,3142,452,809,CAE#DF#B###,778,4402
Uniform,3.199,4214,8,20,CAE#DF#B###,3889,21137
IterativeDeepening,227.861,63407,8,21,CAE#DF#B###,37719704,48386581
BFS,2.256,21421,7,18,CFD#A#B#E##,90688,551165
DFS,2.263,1575,186,328,CFD#A#B#E##,235,1650
Uniform,2.346,4364,7,18,CFD#A#B#E##,3739,20987
IterativeDeepening,51.982,29207,7,18,CFD#A#B#E##,8436854,10924530
BFS,2.253,53446,7,17,EDF#AC#B###,75228,541102
DFS,2.302,4580,400,705,EDF#AC#B###,2386,10504
Uniform,2.41,4562,7,17,EDF#AC#B###,3541,20789
